Tm (°C),GC (%)
132.28,44.3
134.71,49.9
136.889,54.77
132.599,50.88
133.564,50.4
135.602,52.77
134.228,49.19
132.533,46.35
134.407,50.97
124.244,37.72
135.568,52.37
130.704,45.49
131.623,47.97
135.828,53.1
132.937,47.42
133.715,48.92
136.999,55.75
133.941,49.74
135.044,52.16
136.377,54.65
136.095,53.26
132.746,47.96
133.601,51.7
135.109,52.27
134.909,53.24
134.698,52.84
136.115,54.6
135.354,51.74
138.158,59.39
135.987,54.02
135.495,53.08
136.303,54.19
136.442,54.78
135.538,51.82
134.879,50.94
137.369,55.81
135.266,51.88
133.593,48.72
133.671,49.43
132.97,54.02
135.398,52.07
136.469,54.82
136.458,54.84
134.812,51.29
131.4,47.68
135.944,53.14
134.569,50.49
134.68,50.34
135.681,53.74
136.425,54.63
134.868,51.25
135.73,52.44
134.854,49.91
133.667,50.83
133.414,50.0
136.703,56.23
135.599,52.97
135.861,53.22
132.862,47.33
135.61,52.26
135.241,53.15
134.23,50.0
131.471,47.29
135.821,53.23
136.984,54.82
134.113,48.88
136.38,54.25
136.341,55.13
135.267,51.49
135.854,53.4
134.878,51.22
135.045,51.19
134.531,50.44
132.673,45.31
131.485,47.04
132.59,48.41
130.555,41.86
132.367,50.22
130.734,42.56
130.206,42.9
134.77,52.82
136.446,54.62
136.367,56.74
135.488,53.0
134.238,52.83
134.528,53.8
131.917,47.17
130.886,44.65
133.753,50.23
128.054,41.15
133.634,48.98
127.795,47.62
133.09,52.58
136.119,53.81
134.329,52.27
133.481,47.81
133.258,56.46
132.89,54.17
136.586,54.23
130.055,46.45
134.826,55.19
133.783,54.17
131.996,46.96
135.855,54.68
132.505,46.32
129.911,48.3
135.86,55.13
136.0,59.9
130.287,45.33
126.196,39.72
126.333,46.67
136.156,56.83
136.039,54.96
138.001,57.82
138.956,60.01
134.93,56.76
137.306,55.8
135.33,55.35
136.606,58.12
136.854,57.72
137.343,60.0
135.602,53.28
136.407,57.33
135.11,57.62
137.982,57.29
136.343,57.6
137.548,58.08
128.935,41.18
132.077,44.25
137.619,58.13
132.232,51.61
123.144,38.89
128.952,35.46
127.505,31.72
129.418,39.56
136.446,54.86
132.046,52.47
128.149,38.77
130.731,40.31
134.609,50.46
134.949,50.84
134.6,49.88
136.133,53.74
135.285,51.54
133.08,47.04
133.033,53.03
128.265,41.94
128.695,42.71
127.951,39.09
132.13,48.0
136.373,53.63
132.196,49.21
137.099,58.64
134.455,54.21
129.74,44.0
134.936,50.78
136.347,55.67
137.485,56.97
135.809,56.34
133.548,51.52
135.761,55.1
135.434,55.18
135.904,52.71
133.824,52.48
135.117,50.92
133.097,47.32
135.769,52.59
137.086,57.17
135.979,53.39
133.916,50.43
134.607,51.07
134.775,50.28
131.901,43.39
131.227,47.26
132.866,46.3
135.465,52.99
133.04,50.17
129.787,41.74
128.838,35.56
133.989,50.66
130.413,47.95
133.655,51.89
134.865,53.72
129.395,47.52
133.152,47.39
132.726,49.35
133.742,49.9
134.094,50.87
134.088,56.28
130.254,43.54
126.226,32.12
127.681,39.61
135.015,52.56
136.595,54.26
133.821,54.59
138.31,58.61
139.099,60.76
137.174,59.76
137.14,56.34
136.334,56.89
136.536,57.91
136.123,55.09
135.256,54.29
137.747,58.43
135.3,54.14
136.24,56.32
138.376,58.39
136.261,57.58
136.61,55.79
138.095,59.27
137.707,58.99
137.528,56.16
136.398,55.67
136.881,54.66
132.913,47.25
131.52,42.87
129.623,39.64
128.902,37.92
130.503,47.54
130.361,40.66
131.748,48.19
134.128,51.71
136.795,58.62
138.238,58.48
131.529,42.15
131.785,43.4
131.698,44.27
134.828,54.13
136.056,53.94
129.831,43.07
134.244,49.69
134.584,50.86
130.204,42.28
130.665,43.03
130.568,49.06
130.394,43.88
135.171,52.42
132.543,47.2
130.953,41.45
132.91,48.33
135.04,50.91
134.894,52.35
135.826,52.59
134.832,51.39
134.693,49.84
137.19,56.12
137.651,57.52
135.909,52.68
135.515,52.57
134.834,51.8
135.733,53.15
134.202,52.6
134.241,54.12
134.91,50.13
135.346,52.28
135.647,53.64
135.958,54.02
136.163,54.03
136.003,53.57
124.6,32.34
135.524,51.92
134.941,50.53
135.591,53.55
135.814,53.03
135.032,51.1
134.151,50.26
134.03,53.05
136.788,54.87
135.666,52.76
135.9,53.64
134.644,51.28
136.278,53.94
135.769,52.91
136.75,55.76
132.283,47.07
133.051,46.79
135.106,51.7
131.607,56.48
132.367,58.33
134.159,48.96
130.592,45.89
136.312,55.0
133.988,51.69
134.943,50.52
134.95,51.92
136.228,53.42
136.158,53.52
137.046,54.94
136.373,53.93
136.586,55.7
136.321,55.16
133.548,47.92
132.256,46.41
134.638,50.37
134.049,48.82
133.217,46.97
132.48,47.34
131.056,42.56
135.315,50.9
133.399,48.15
133.856,47.7
133.065,46.58
135.427,52.37
135.222,51.68
135.242,51.74
132.036,47.27
135.426,51.68
131.49,42.26
132.444,48.82
136.199,54.72
133.046,48.87
132.507,46.48
134.072,49.46
133.919,49.45
133.099,46.33
132.242,49.4
134.744,49.56
128.908,43.23
126.314,37.04
126.709,36.32
129.325,39.71
131.463,48.4
131.173,45.67
131.536,45.1
132.959,51.75
133.086,47.83
134.689,50.34
136.367,56.74
134.674,51.55
130.239,47.88
131.799,43.87
132.32,50.7
129.247,41.86
134.618,54.48
136.376,54.44
133.325,50.0
132.346,46.14
131.998,50.51
135.976,53.45
137.025,55.34
133.783,54.17
132.352,47.83
136.163,55.43
132.505,46.32
129.911,48.3
136.123,55.77
135.318,59.14
129.722,43.86
136.156,56.83
135.966,54.79
138.001,57.82
138.956,60.01
135.114,57.21
137.576,56.43
135.706,56.27
137.073,59.26
137.13,58.39
137.225,59.71
135.545,53.14
136.407,57.33
135.11,57.62
138.008,57.38
136.223,57.31
136.28,56.39
138.054,57.43
135.92,54.5
138.618,59.59
133.156,51.11
131.413,42.01
129.515,37.94
128.693,37.02
133.06,51.16
138.238,58.48
136.795,58.62
134.128,51.71
126.976,35.84
127.122,41.5
130.552,41.2
129.653,39.26
130.027,40.63
131.029,43.11
131.678,50.56
136.218,54.52
136.489,54.52
135.865,52.83
137.089,55.64
136.749,54.83
117.922,44.44
136.248,54.42
133.75,49.11
133.506,46.91
136.141,54.18
134.509,51.1
135.04,51.78
134.752,50.48
131.22,46.83
135.761,52.0
133.772,48.21
129.809,49.61
129.718,46.43
136.097,52.8
134.093,50.08
134.452,50.33
132.684,49.19
135.429,51.97
135.844,53.63
132.697,48.93
133.522,53.42
134.027,49.33
130.143,47.13
134.199,48.39
135.985,52.76
135.001,50.98
135.67,53.23
133.25,48.15
135.073,51.16
135.606,51.52
136.41,54.15
134.197,48.97
134.948,51.43
134.623,50.25
137.41,57.24
135.011,51.24
136.535,54.26
131.956,48.78
